,qid,year,month,numQuotes,date
0,Q22686,2008,9,543,2008-09-15
1,Q76,2008,9,28450,2008-09-15
2,Q22686,2008,10,373,2008-10-15
3,Q76,2008,10,39389,2008-10-15
4,Q22686,2008,11,422,2008-11-15
5,Q76,2008,11,48108,2008-11-15
6,Q22686,2008,12,366,2008-12-15
7,Q76,2008,12,20427,2008-12-15
8,Q22686,2009,1,313,2009-01-15
9,Q76,2009,1,50951,2009-01-15
10,Q22686,2009,2,620,2009-02-15
11,Q76,2009,2,41500,2009-02-15
12,Q22686,2009,3,542,2009-03-15
13,Q76,2009,3,37471,2009-03-15
14,Q22686,2009,4,470,2009-04-15
15,Q76,2009,4,36034,2009-04-15
16,Q22686,2009,5,647,2009-05-15
17,Q76,2009,5,23432,2009-05-15
18,Q22686,2009,6,423,2009-06-15
19,Q76,2009,6,28302,2009-06-15
20,Q22686,2009,7,396,2009-07-15
21,Q76,2009,7,27427,2009-07-15
22,Q22686,2009,8,549,2009-08-15
23,Q76,2009,8,20111,2009-08-15
24,Q22686,2009,9,509,2009-09-15
25,Q76,2009,9,31028,2009-09-15
26,Q22686,2009,10,461,2009-10-15
27,Q76,2009,10,25075,2009-10-15
28,Q22686,2009,11,424,2009-11-15
29,Q76,2009,11,22698,2009-11-15
30,Q22686,2009,12,367,2009-12-15
31,Q76,2009,12,24012,2009-12-15
32,Q22686,2010,1,345,2010-01-15
33,Q76,2010,1,26599,2010-01-15
34,Q22686,2010,2,387,2010-02-15
35,Q76,2010,2,18963,2010-02-15
36,Q22686,2010,3,615,2010-03-15
37,Q76,2010,3,20643,2010-03-15
38,Q22686,2010,4,348,2010-04-15
39,Q76,2010,4,12691,2010-04-15
40,Q22686,2010,5,39,2010-05-15
41,Q76,2010,5,1946,2010-05-15
42,Q22686,2010,6,6,2010-06-15
43,Q76,2010,6,555,2010-06-15
44,Q22686,2010,7,233,2010-07-15
45,Q76,2010,7,10603,2010-07-15
46,Q22686,2010,8,404,2010-08-15
47,Q76,2010,8,17039,2010-08-15
48,Q22686,2010,9,540,2010-09-15
49,Q76,2010,9,20440,2010-09-15
50,Q22686,2010,10,624,2010-10-15
51,Q76,2010,10,18459,2010-10-15
52,Q22686,2010,11,498,2010-11-15
53,Q76,2010,11,21792,2010-11-15
54,Q22686,2010,12,331,2010-12-15
55,Q76,2010,12,14528,2010-12-15
56,Q22686,2011,1,396,2011-01-15
57,Q76,2011,1,18014,2011-01-15
58,Q22686,2011,2,782,2011-02-15
59,Q76,2011,2,14566,2011-02-15
60,Q22686,2011,3,1347,2011-03-15
61,Q76,2011,3,16294,2011-03-15
62,Q22686,2011,4,5258,2011-04-15
63,Q76,2011,4,17209,2011-04-15
64,Q22686,2011,5,2376,2011-05-15
65,Q76,2011,5,20673,2011-05-15
66,Q22686,2011,6,623,2011-06-15
67,Q76,2011,6,14641,2011-06-15
68,Q22686,2011,7,338,2011-07-15
69,Q76,2011,7,15601,2011-07-15
70,Q22686,2011,8,434,2011-08-15
71,Q76,2011,8,16449,2011-08-15
72,Q22686,2011,9,473,2011-09-15
73,Q76,2011,9,22330,2011-09-15
74,Q22686,2011,10,642,2011-10-15
75,Q76,2011,10,16838,2011-10-15
76,Q22686,2011,11,347,2011-11-15
77,Q76,2011,11,13586,2011-11-15
78,Q22686,2011,12,1302,2011-12-15
79,Q76,2011,12,12904,2011-12-15
80,Q22686,2012,1,483,2012-01-15
81,Q76,2012,1,19679,2012-01-15
82,Q22686,2012,2,923,2012-02-15
83,Q76,2012,2,17970,2012-02-15
84,Q22686,2012,3,672,2012-03-15
85,Q76,2012,3,19144,2012-03-15
86,Q22686,2012,4,620,2012-04-15
87,Q76,2012,4,16511,2012-04-15
88,Q22686,2012,5,864,2012-05-15
89,Q76,2012,5,22546,2012-05-15
90,Q22686,2012,6,505,2012-06-15
91,Q76,2012,6,19267,2012-06-15
92,Q22686,2012,7,348,2012-07-15
93,Q76,2012,7,17627,2012-07-15
94,Q22686,2012,8,465,2012-08-15
95,Q76,2012,8,19410,2012-08-15
96,Q22686,2012,9,354,2012-09-15
97,Q76,2012,9,29823,2012-09-15
98,Q22686,2012,10,966,2012-10-15
99,Q76,2012,10,34811,2012-10-15
100,Q22686,2012,11,844,2012-11-15
101,Q76,2012,11,31749,2012-11-15
102,Q22686,2012,12,333,2012-12-15
103,Q76,2012,12,14429,2012-12-15
104,Q22686,2013,1,383,2013-01-15
105,Q76,2013,1,22634,2013-01-15
106,Q22686,2013,2,535,2013-02-15
107,Q76,2013,2,17312,2013-02-15
108,Q22686,2013,3,554,2013-03-15
109,Q76,2013,3,12139,2013-03-15
110,Q22686,2013,4,352,2013-04-15
111,Q76,2013,4,13332,2013-04-15
112,Q22686,2013,5,351,2013-05-15
113,Q76,2013,5,7294,2013-05-15
114,Q22686,2013,6,267,2013-06-15
115,Q76,2013,6,6705,2013-06-15
116,Q22686,2013,7,179,2013-07-15
117,Q76,2013,7,5371,2013-07-15
118,Q22686,2013,8,420,2013-08-15
119,Q76,2013,8,6395,2013-08-15
120,Q22686,2013,9,153,2013-09-15
121,Q76,2013,9,8150,2013-09-15
122,Q22686,2013,10,177,2013-10-15
123,Q76,2013,10,6509,2013-10-15
124,Q22686,2013,11,155,2013-11-15
125,Q76,2013,11,5884,2013-11-15
126,Q22686,2013,12,137,2013-12-15
127,Q76,2013,12,4964,2013-12-15
128,Q22686,2014,1,195,2014-01-15
129,Q76,2014,1,5935,2014-01-15
130,Q22686,2014,2,230,2014-02-15
131,Q76,2014,2,4548,2014-02-15
132,Q22686,2014,3,308,2014-03-15
133,Q76,2014,3,5924,2014-03-15
134,Q22686,2014,4,258,2014-04-15
135,Q76,2014,4,5360,2014-04-15
136,Q22686,2014,5,299,2014-05-15
137,Q76,2014,5,5616,2014-05-15
138,Q22686,2014,6,225,2014-06-15
139,Q76,2014,6,7286,2014-06-15
140,Q22686,2014,7,187,2014-07-15
141,Q76,2014,7,6179,2014-07-15
142,Q22686,2014,8,224,2014-08-15
143,Q76,2014,8,6680,2014-08-15
144,Q22686,2014,9,226,2014-09-15
145,Q76,2014,9,8407,2014-09-15
146,Q22686,2014,10,288,2014-10-15
147,Q76,2014,10,5209,2014-10-15
148,Q22686,2014,11,152,2014-11-15
149,Q76,2014,11,7970,2014-11-15
150,Q22686,2014,12,168,2014-12-15
151,Q76,2014,12,6651,2014-12-15
152,Q22686,2015,1,556,2015-01-15
153,Q76,2015,1,7752,2015-01-15
154,Q22686,2015,2,350,2015-02-15
155,Q76,2015,2,7500,2015-02-15
156,Q22686,2015,3,299,2015-03-15
157,Q76,2015,3,6058,2015-03-15
158,Q22686,2015,4,324,2015-04-15
159,Q76,2015,4,5926,2015-04-15
