Rank,QID,active_months,num_quotations
1,Q76,140,1499080
2,Q22686,138,762777
3,Q4496,125,281413
4,Q6294,137,230212
5,Q207,133,199909
6,Q10390,133,160688
7,Q6279,133,127004
8,Q170581,135,101541
9,Q359442,136,96611
10,Q63879,126,95985
11,Q22316,124,92604
12,Q203966,122,91930
13,Q215057,125,89763
14,Q23505,127,88564
15,Q11673,132,88287
16,Q1124,132,87956
17,Q182788,126,86317
18,Q355522,134,81955
19,Q380900,133,75238
20,Q324546,128,70040
21,Q434706,131,67499
22,Q22212,132,66759
23,Q13133,131,65178
24,Q607,127,64140
25,Q553254,121,63927
26,Q24313,125,58256
27,Q152451,124,58006
28,Q463557,120,54965
29,Q7613977,132,53075
30,Q5105666,131,50453
31,Q5112603,131,50448
32,Q5105999,131,50406
33,Q310618,122,49139
34,Q298443,126,45751
35,Q16885757,132,45633
36,Q6848854,132,44767
37,Q155125,129,41312
38,Q5605224,131,29749
39,Q529294,131,29674
40,Q434804,131,29310
41,Q2023708,132,29041
42,Q23685,128,28501
43,Q230733,130,28484
44,Q953554,131,27714
45,Q719568,130,26831
46,Q158813,122,26722
47,Q627098,129,26196
48,Q11963798,132,25397
49,Q981167,132,25351
50,Q538868,126,25241
51,Q22279,129,24666
52,Q381880,132,24644
53,Q970272,125,24632
54,Q749710,128,24500
55,Q11153,131,24246
56,Q6244736,131,24150
57,Q359888,121,24150
58,Q45380,131,24097
59,Q6244764,131,24081
60,Q22222,125,23728
61,Q5107040,131,23410
62,Q22237,125,23352
63,Q1077594,123,23244
64,Q7151611,127,23216
65,Q37084447,126,22671
66,Q7613031,126,22671
67,Q5107020,128,22670
68,Q529344,128,22536
69,Q6232322,124,21762
70,Q888132,128,21118
71,Q862215,131,21111
72,Q59315,128,21098
73,Q766866,121,21003
74,Q6396888,121,20988
75,Q6396889,121,20988
76,Q984010,125,20927
77,Q5235693,130,20853
78,Q5235694,130,20853
79,Q4679802,132,20406
80,Q350916,132,20406
81,Q6769774,131,20323
82,Q19667639,123,20204
83,Q6250211,127,19779
84,Q16185473,126,19738
85,Q28870727,126,19716
86,Q6242847,127,19438
87,Q6834862,130,19151
88,Q16189328,128,19015
89,Q28055509,128,19015
90,Q28314503,128,19015
91,Q453893,122,18690
92,Q6258298,128,18646
93,Q7612951,129,18632
94,Q1680235,130,18410
95,Q6138975,130,18370
96,Q16149461,126,18341
97,Q203286,120,18004
98,Q380433,124,17663
99,Q6174997,128,17351
100,Q419976,127,17284
101,Q6175002,128,17236
102,Q6174995,128,17137
103,Q15498191,128,17137
104,Q6248778,125,16845
105,Q16885742,128,16780
106,Q5606263,128,16780
107,Q1701577,125,16733
108,Q12885333,121,15388
109,Q1790063,125,15190
110,Q936548,128,15048
111,Q19880665,123,14960
112,Q16106677,123,14947
113,Q478094,121,14445
114,Q6243110,123,13914
115,Q16729662,124,13893
116,Q6234532,123,13887
117,Q1232745,123,13883
118,Q16237828,123,13883
119,Q20707214,126,13776
120,Q23073618,126,13776
121,Q16887056,127,13636
122,Q17091652,125,13607
123,Q16885746,122,13313
124,Q5240287,120,13212
125,Q16194125,122,12946
126,Q16105692,120,12634
127,Q528979,123,12574
128,Q6144043,120,11504
