,qid,gender,party,congress,numQuotes
0,Q76,[0],[1],[1],1499080
1,Q22686,[0],[0],[0],762822
2,Q4496,[0],[0],[1],281774
3,Q6294,[1],[1],[1],230306
4,Q207,[0],[0],[0],200013
5,Q10390,[0],[0],[1],160805
6,Q6279,[0],[1],[1],127182
7,Q43144,[1],[0],[0],125980
8,Q170581,[1],[1],[1],101583
9,Q359442,[0],[1],[1],96701
10,Q63879,[0],[0],[0],96361
11,Q22316,[0],[1],[1],93036
12,Q203966,[0],[0],[1],92407
13,Q215057,[0],[0],[0],89975
14,Q23505,[0],[0],[1],88859
15,Q11673,[0],[1],[0],88433
16,Q1124,[0],[1],[0],88173
17,Q182788,[0],[0],[1],86670
18,Q355522,[0],[0],[1],82061
19,Q11702,[0],[0],[1],80793
20,Q380900,[0],[1],[1],75358
21,Q314459,[0],[1],[1],73980
22,Q324546,[0],[0],[1],70349
23,Q434706,[1],[1],[1],67699
24,Q22212,[0],[0],[1],66895
25,Q439729,[0],[0],[1],65523
26,Q13133,[1],[1],[0],65410
27,Q2036942,[0],[0],[1],64380
28,Q607,[0],[1],[0],64366
29,Q553254,[0],[0],[0],64326
30,Q15257,[0],[0],[1],59029
31,Q155985,[0],[0],[1],58690
32,Q24313,[0],[0],[1],58639
33,Q152451,[0],[1],[0],58370
34,Q463557,[0],[0],[1],55335
35,Q7613977,[0],[0],[0],53157
36,Q201795,[0],[0],[0],51502
37,Q4911497,[0],[1],[0],50874
38,Q5105666,[0],[0],[0],50566
39,Q5112603,[0],[0],[0],50561
40,Q5105999,[0],[0],[0],50519
41,Q310618,[0],[0],[0],49568
42,Q473239,[0],[0],[1],46208
43,Q298443,[0],[1],[1],46102
44,Q16885757,[0],[0],[0],45715
45,Q6848854,[0],[1],[0],44837
46,Q69319,[0],[0],[1],43509
47,Q312644,[0],[1],[0],41685
48,Q155125,[0],[0],[1],41484
49,Q11668,[1],[0],[0],41042
50,Q358443,[0],[0],[1],39615
51,Q2685,[0],[0],[0],39462
52,Q28836957,[0],[0],[0],39179
53,Q27986907,[1],[0],[0],38087
54,Q887111,[0],[0],[0],37031
55,Q160582,[1],[0],[1],36763
56,Q460291,[0],[1],[0],36551
57,Q608533,[0],[1],[0],36191
58,Q212979,[0],[0],[0],35909
59,Q221997,[0],[0],[0],32918
60,Q491019,[0],[0],[0],32202
61,Q212648,[0],[0],[0],30870
62,Q350843,[0],[1],[1],30122
63,Q1135767,[0],[1],[1],29960
64,Q5605224,[0],[0],[0],29858
65,Q529294,[0],[0],[1],29779
66,Q167607,[0],[0],[0],29593
67,Q434804,[0],[1],[1],29423
68,Q2023708,[0],[1],[1],29141
69,Q295492,[0],[0],[1],28916
70,Q23685,[0],[1],[0],28699
71,Q230733,[1],[1],[1],28663
72,Q11100,[0],[1],[0],28396
73,Q513091,[0],[1],[1],27852
74,Q953554,[0],[0],[1],27814
75,Q244631,[0],[1],[1],27416
76,Q158813,[0],[0],[0],27142
77,Q719568,[0],[0],[1],26985
78,Q331719,[0],[0],[1],26547
79,Q10853588,[1],[1],[1],26509
80,Q935136,[0],[1],[0],26498
81,Q627098,[0],[0],[1],26398
82,Q19673,[0],[1],[1],26263
83,Q7173106,[0],[1],[0],26154
84,Q381670,[0],[0],[1],25588
85,Q5076629,[0],[0],[0],25488
86,Q538868,[0],[1],[1],25481
87,Q11963798,[0],[1],[0],25434
88,Q981167,[0],[0],[1],25388
